name,price,points,position,team,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,is_penalty_taker,is_starter,team_pr,team_gfpg,team_gapg,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,round,pred_points
פיטר גולאצ'י,4,3,GK,הונגריה,3,270,0,0,0.0,6.29,1.0,1.0,0.0,0.0,0.0,Péter Gulácsi,0,1,0.222,1.04,1.56,צרפת,1.04,1.56,2.0,0.72,-0.703,0.604,3.278,"(0, 3)",2,0.396
דייויד מרשל,3,7,GK,סקוטלנד,3,270,0,0,0.0,6.44,1.0,1.0,0.0,,0.0,David Marshall,0,1,0.15,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.684,0.704,5.131,"(0, 5)",2,-1.604
דניאל באכמן,3,8,GK,אוסטריה,3,270,0,0,0.0,6.26,1.0,1.0,0.0,0.0,0.0,Daniel Bachmann,0,0,0.361,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.334,1.056,2.223,"(1, 2)",2,0.0
מארטן סטקלנבורך,3,13,GK,הולנד,3,270,0,0,0.0,6.51,1.0,1.0,0.0,0.0,0.0,Maarten Stekelenburg,0,1,0.695,2.4,1.05,אוסטריה,2.4,1.05,1.52,1.08,0.334,2.223,1.056,"(2, 1)",2,2.396
הוגו לוריס,10,4,GK,צרפת,3,270,0,0,0.0,6.54,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,0,1,0.925,2.0,0.72,פורטוגל,2.0,0.72,2.2,0.8999999999999999,0.165,1.624,1.319,"(1, 1)",3,2.396
אונאי סימון,9,14,GK,ספרד,3,270,0,0,0.0,6.39,1.0,1.0,0.0,0.0,0.0,Unai Simón,0,1,0.711,2.48,0.6,סלובקיה,2.48,0.6,1.2,1.44,0.573,3.123,0.656,"(3, 0)",3,6.396
טיבו קורטואה,9,14,GK,בלגיה,3,270,0,0,0.0,6.96,1.0,1.0,0.0,0.0,0.0,Thibaut Courtois,0,1,0.893,3.2,0.36,פינלנד,3.2,0.36,1.28,1.2,0.858,4.974,0.526,"(4, 0)",3,6.396
מנואל נוייר,9,4,GK,גרמניה,3,270,0,0,0.0,6.01,1.0,1.0,0.0,0.0,0.0,Manuel Neuer,0,1,0.655,3.0,1.05,הונגריה,3.0,1.05,1.04,1.56,0.433,3.173,0.815,"(3, 0)",3,6.396
ג'אנלואיג'י דונארומה,8,18,GK,איטליה,3,269,0,0,0.0,6.77,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,0,1,0.934,2.96,0.48,וויילס,2.96,0.48,1.0,0.8999999999999999,0.502,2.865,0.558,"(2, 0)",3,6.396
סלבטורה סיריגו,4,1,GK,איטליה,0,1,0,0,0.0,6.04,0.0,0.004,0.0,0.0,0.0,Salvatore Sirigu,0,0,0.934,2.96,0.48,וויילס,2.96,0.48,1.0,0.8999999999999999,0.502,2.865,0.558,"(2, 0)",3,0.0
ג'ורדן פיקפורד,8,18,GK,אנגליה,3,270,0,0,0.0,6.87,1.0,1.0,0.0,0.0,0.0,Jordan Pickford,0,1,0.834,3.7,0.8999999999999999,צ`כיה,3.7,0.8999999999999999,1.3,1.65,0.437,3.736,0.857,"(3, 0)",3,6.396
רוי פטריסיו,8,6,GK,פורטוגל,3,270,0,0,0.0,6.71,1.0,1.0,0.0,0.0,0.0,Rui Patrício,0,1,0.76,2.2,0.8999999999999999,צרפת,2.2,0.8999999999999999,2.0,0.72,-0.165,1.319,1.624,"(1, 1)",3,2.396
דומיניק ליבאקוביץ',7,6,GK,קרואטיה,3,270,0,0,0.0,6.31,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,0,1,0.444,1.7,1.05,סקוטלנד,1.7,1.05,1.133,2.000000000000004,0.294,2.287,0.917,"(2, 0)",3,6.396
ווייצ'ך שצ'סני,7,-2,GK,פולין,3,270,0,0,0.0,6.37,1.0,1.0,0.0,0.0,0.0,Wojciech Szczesny,0,1,0.323,1.44,0.6,שבדיה,1.44,0.6,1.84,1.08,-0.304,1.052,1.52,"(1, 1)",3,2.396
יאן זומר,7,4,GK,שווייץ,3,270,0,0,0.0,6.26,1.0,1.0,0.0,0.0,0.0,Yann Sommer,0,1,0.608,1.9,0.8999999999999999,טורקיה,1.9,0.8999999999999999,1.44,0.36,0.036,1.157,1.143,"(1, 1)",3,2.396
קספר שמייכל,7,5,GK,דנמרק,3,270,0,0,0.0,5.73,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,0,1,0.697,2.3,0.8999999999999999,רוסיה,2.3,0.8999999999999999,2.0,0.96,0.398,2.199,1.152,"(2, 1)",3,2.396
אואורג'אן צ'אקיר,6,1,GK,טורקיה,3,270,0,0,0.0,6.63,1.0,1.0,0.0,0.0,0.0,Ugurcan Çakir,0,1,0.572,1.44,0.36,שווייץ,1.44,0.36,1.9,0.8999999999999999,-0.036,1.143,1.157,"(1, 1)",3,2.396
אנטון שונין,6,0,GK,רוסיה,1,90,0,0,0.0,4.68,0.333,0.333,0.0,0.0,0.0,Anton Shunin,0,1,0.299,2.0,0.96,דנמרק,2.0,0.96,2.3,0.8999999999999999,-0.398,1.152,2.199,"(1, 2)",3,1.396
מאטביי סאפונוב,4,5,GK,רוסיה,2,180,0,0,0.0,6.84,0.667,0.667,0.0,0.0,0.0,Matvey Safonov,0,0,0.299,2.0,0.96,דנמרק,2.0,0.96,2.3,0.8999999999999999,-0.398,1.152,2.199,"(1, 2)",3,0.0
גיאורגי בושצ'אן,6,8,GK,אוקראינה,3,270,0,0,0.0,6.88,1.0,1.0,0.0,0.0,0.0,Georgi Bushchan,0,1,0.309,1.7,0.6,אוסטריה,1.7,0.6,1.52,1.08,-0.052,1.345,1.097,"(1, 1)",3,2.396
רובין אולסן,6,13,GK,שבדיה,3,270,0,0,0.0,7.01,1.0,1.0,0.0,0.0,0.0,Robin Olsen,0,1,0.627,1.84,1.08,פולין,1.84,1.08,1.44,0.6,0.304,1.52,1.052,"(1, 1)",3,2.396
תומאש ואצליק,6,10,GK,צ`כיה,3,270,0,0,0.0,6.83,1.0,1.0,0.0,0.0,0.0,Tomás Vaclik,0,1,0.397,1.3,1.65,אנגליה,1.3,1.65,3.7,0.8999999999999999,-0.437,0.857,3.736,"(0, 3)",3,0.396
דני וורד,5,10,GK,וויילס,3,270,0,0,0.0,7.12,1.0,1.0,0.0,0.0,0.0,Danny Ward,0,1,0.432,1.0,0.8999999999999999,איטליה,1.0,0.8999999999999999,2.96,0.48,-0.502,0.558,2.865,"(0, 2)",3,1.396
מרטין דוברבקה,5,-4,GK,סלובקיה,1,90,0,0,0.0,7.3,0.333,0.333,0.0,0.0,0.0,Martin Dúbravka,0,1,0.138,1.2,1.44,ספרד,1.2,1.44,2.48,0.6,-0.573,0.656,3.123,"(0, 3)",3,0.396
דושאן קוציאק,3,0,GK,סלובקיה,2,180,0,0,0.0,6.41,0.667,0.667,0.0,0.0,0.0,Dusan Kuciak,0,0,0.138,1.2,1.44,ספרד,1.2,1.44,2.48,0.6,-0.573,0.656,3.123,"(0, 3)",3,0.0
לוקאס הרדצקי,4,8,GK,פינלנד,3,270,0,0,0.0,7.53,1.0,1.0,0.0,0.0,0.0,Lukás Hrádecky,0,1,0.035,1.28,1.2,בלגיה,1.28,1.2,3.2,0.36,-0.858,0.526,4.974,"(0, 4)",3,-0.604
סטולה דימיטרייבסקי,4,5,GK,צפון מקדוניה,3,270,0,0,0.0,7.15,1.0,1.0,0.0,0.0,0.0,Stole Dimitrievski,0,1,0.06,1.0,1.4000000000000041,הולנד,1.0,1.4000000000000041,2.4,1.05,-0.635,0.726,3.235,"(0, 3)",3,0.396
פיטר גולאצ'י,4,3,GK,הונגריה,3,270,0,0,0.0,6.29,1.0,1.0,0.0,0.0,0.0,Péter Gulácsi,0,1,0.222,1.04,1.56,גרמניה,1.04,1.56,3.0,1.05,-0.433,0.815,3.173,"(0, 3)",3,0.396
